SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
BIHAR,1995,6.80,11.60,2.00,0.10,6.70,162.90,227.50,335.70,279.10,11.40,44.40,23.80,1111.90,18.40,8.80,1005.10,79.60
BIHAR,1996,26.00,21.70,0.20,3.00,18.20,220.10,238.50,350.90,162.50,66.20,0.00,0.00,1107.20,47.70,21.40,972.00,66.20
BIHAR,1997,10.50,1.10,2.90,29.30,42.20,211.00,463.90,287.60,185.80,27.80,11.00,30.60,1303.70,11.60,74.40,1148.30,69.50
BIHAR,1998,8.40,11.20,23.60,26.60,38.20,96.60,465.10,377.40,188.00,83.00,14.50,0.00,1332.50,19.60,88.40,1127.00,97.50
BIHAR,1999,0.10,0.20,0.40,3.80,83.60,265.10,380.80,347.50,199.60,114.10,6.90,0.60,1402.70,0.30,87.80,1192.90,121.70
BIHAR,2000,0.50,12.10,3.60,37.20,96.20,267.20,264.30,201.40,314.80,9.60,0.00,0.10,1207.00,12.70,137.00,1047.70,9.70
BIHAR,2001,1.00,0.50,3.00,12.60,98.40,224.40,224.70,225.90,274.80,181.30,0.50,0.00,1247.00,1.50,114.00,949.80,181.80
BIHAR,2002,13.40,11.30,2.20,25.00,74.80,116.60,386.10,247.70,192.80,33.80,1.40,0.70,1105.80,24.60,102.10,943.20,35.80
BIHAR,2003,13.20,39.70,10.20,21.90,41.40,230.90,356.80,310.60,183.90,142.00,0.20,3.00,1353.90,52.90,73.50,1082.30,145.20
BIHAR,2004,22.70,2.10,2.20,32.00,72.70,246.80,418.40,175.90,115.30,56.40,3.10,0.00,1147.80,24.80,107.00,956.40,59.50
BIHAR,2005,13.90,14.30,12.10,7.70,28.60,82.50,300.00,309.10,105.10,34.30,0.00,0.20,907.80,28.20,48.50,796.70,34.50
BIHAR,2006,0.10,0.00,1.90,19.20,73.20,200.00,290.70,160.40,285.20,17.60,2.90,1.60,1052.80,0.10,94.30,936.30,22.10
BIHAR,2007,0.20,34.20,25.40,20.30,94.40,170.40,549.40,340.60,309.00,39.60,9.10,7.50,1600.20,34.30,140.20,1369.40,56.20
BIHAR,2008,25.60,4.40,3.20,10.40,48.90,291.20,397.20,278.10,117.10,21.40,0.10,0.00,1197.70,30.00,62.60,1083.50,21.60
BIHAR,2009,0.30,0.40,1.10,2.90,98.50,67.70,213.60,298.90,127.60,72.60,5.10,0.80,889.30,0.70,102.50,707.70,78.40
BIHAR,2010,0.10,1.10,0.20,6.50,44.40,80.90,191.20,158.40,105.70,33.60,5.00,2.10,629.20,1.30,51.10,536.20,40.70
BIHAR,2011,4.20,7.70,9.20,23.90,74.50,211.00,241.10,278.70,234.10,10.00,2.00,0.90,1097.10,11.80,107.60,964.80,12.90
BIHAR,2012,18.10,2.70,7.30,20.40,18.80,96.20,354.00,240.40,233.80,34.30,6.40,0.00,1032.40,20.90,46.50,924.40,40.60
BIHAR,2013,5.10,22.60,0.60,32.30,89.50,183.30,182.00,213.60,143.30,197.10,0.40,0.00,1069.90,27.70,122.40,722.20,197.50
BIHAR,2014,17.00,33.50,8.40,0.70,103.90,115.20,265.40,307.60,160.30,47.80,0.00,1.20,1061.00,50.50,112.90,848.60,49.00
BIHAR,2015,12.80,1.80,27.20,38.70,39.50,122.10,231.50,287.00,101.70,10.40,0.00,0.00,872.70,14.60,105.50,742.30,10.40
